#contig	length
scaffold_1446	21692
scaffold_1326	25191
scaffold_1992	6022
scaffold_139	182313
scaffold_996	37919
scaffold_1013	37205
scaffold_369	91079
scaffold_349	96618
scaffold_873	45346
scaffold_1832	10296
scaffold_950	41181
scaffold_2009	5415
scaffold_508	73443
scaffold_1504	19627
scaffold_101	228100
scaffold_1277	27143
scaffold_474	76967
scaffold_723	53978
scaffold_1335	24802
scaffold_552	68724
scaffold_1447	21664
scaffold_1808	11118
scaffold_1655	15103
scaffold_1604	16515
scaffold_1501	19800
scaffold_2101	2196
scaffold_1620	16208
scaffold_911	43375
scaffold_1917	7851
scaffold_1378	23711
scaffold_210	136585
scaffold_1645	15514
scaffold_890	44225
scaffold_1485	20369
scaffold_785	50859
scaffold_523	71703
scaffold_2039	4362
scaffold_1800	11279
scaffold_1971	6658
scaffold_1941	7340
scaffold_1164	31108
scaffold_252	122636
scaffold_1895	8328
scaffold_415	85181
scaffold_146	177220
scaffold_1267	27312
scaffold_598	64748
scaffold_1760	11989
scaffold_401	86748
scaffold_2121	1712
scaffold_1248	27948
scaffold_699	56273
scaffold_1145	31818
scaffold_1878	8860
scaffold_1536	18802
scaffold_659	59641
scaffold_1508	19551
scaffold_1717	13309
scaffold_542	69886
scaffold_1260	27634
scaffold_205	138182
scaffold_2097	2312
scaffold_1643	15521
scaffold_1426	22292
scaffold_164	159711
scaffold_2116	1871
scaffold_1583	17393
scaffold_835	47335
scaffold_1218	28718
scaffold_1083	34636
scaffold_1614	16280
scaffold_719	54390
scaffold_794	50306
scaffold_1627	15997
scaffold_825	47966
scaffold_582	66205
scaffold_1569	17804
scaffold_30	425331
scaffold_1775	11724
scaffold_1254	27731
scaffold_1637	15718
scaffold_1922	7760
scaffold_1549	18438
scaffold_514	73062
scaffold_1705	13599
scaffold_904	43689
scaffold_923	42686
scaffold_608	64111
scaffold_1051	35853
scaffold_1979	6472
scaffold_1390	23337
scaffold_940	41541
scaffold_21	496053
scaffold_674	58631
scaffold_71	292459
scaffold_1562	18036
scaffold_1589	17133
scaffold_2023	4701
scaffold_749	52915
scaffold_392	87913
scaffold_1609	16334
scaffold_847	46728
scaffold_1173	30770
scaffold_740	53339
scaffold_1216	28758
scaffold_498	74246
scaffold_193	142789
scaffold_1287	26478
scaffold_2028	4538
scaffold_1470	20878
scaffold_1126	32915
scaffold_332	100381
scaffold_957	40853
scaffold_1156	31355
scaffold_37	392384
scaffold_650	60328
scaffold_1039	36440
scaffold_1757	12056
scaffold_1575	17630
scaffold_18	519970
scaffold_1032	36646
scaffold_1849	9671
scaffold_1964	6854
scaffold_816	48998
scaffold_899	43952
scaffold_738	53475
scaffold_406	85718
scaffold_830	47739
scaffold_289	113503
scaffold_1398	23062
scaffold_1201	29534
scaffold_2046	4095
scaffold_1029	36686
scaffold_1699	13739
scaffold_127	195631
scaffold_1246	28008
scaffold_668	58978
scaffold_1279	26970
scaffold_1822	10661
scaffold_2131	1503
scaffold_1337	24778
scaffold_322	103174
scaffold_947	41239
scaffold_1787	11526
scaffold_1914	7969
scaffold_49	337905
scaffold_1120	33074
scaffold_1690	13927
scaffold_1086	34573
scaffold_111	212279
scaffold_1272	27232
scaffold_1969	6680
scaffold_1668	14665
scaffold_1111	33748
scaffold_556	68179
scaffold_1087	34543
scaffold_477	76835
scaffold_418	84650
scaffold_895	44037
scaffold_1570	17789
scaffold_2109	2000
scaffold_1242	28077
scaffold_310	106551
scaffold_1937	7388
scaffold_235	126557
scaffold_1631	15927
scaffold_2018	4915
scaffold_884	44567
scaffold_492	75189
scaffold_420	84581
scaffold_2044	4277
scaffold_1434	22144
scaffold_244	125147
scaffold_981	39623
scaffold_989	38668
scaffold_300	109827
scaffold_759	52232
scaffold_1513	19487
scaffold_1676	14298
scaffold_1479	20651
scaffold_752	52672
scaffold_647	60645
scaffold_1525	19064
scaffold_1840	9994
scaffold_370	90976
scaffold_1672	14512
scaffold_1866	9174
scaffold_520	71764
scaffold_1066	35122
scaffold_972	40002
scaffold_1259	27641
scaffold_2152	1170
scaffold_427	83496
scaffold_2054	3819
scaffold_857	46189
scaffold_130	189989
scaffold_341	98188
scaffold_537	70294
scaffold_776	51244
scaffold_1330	25033
scaffold_964	40298
scaffold_1179	30392
scaffold_305	107194
scaffold_1413	22646
scaffold_826	47823
scaffold_694	56522
scaffold_2159	1019
scaffold_578	66272
scaffold_670	58911
scaffold_1291	26294
scaffold_176	153582
scaffold_429	83275
scaffold_283	115412
scaffold_858	46145
scaffold_1192	30002
scaffold_1462	21194
scaffold_1794	11362
scaffold_438	81546
scaffold_1545	18516
scaffold_330	100662
scaffold_1827	10491
scaffold_197	141980
scaffold_258	121147
scaffold_1102	34059
scaffold_1719	13244
scaffold_79	270656
scaffold_1673	14400
scaffold_294	111909
scaffold_1854	9371
scaffold_104	219881
scaffold_1020	36841
scaffold_1768	11847
scaffold_803	49619
scaffold_1749	12255
scaffold_1009	37416
scaffold_1450	21530
scaffold_56	322716
scaffold_926	42334
scaffold_1602	16627
scaffold_2144	1291
scaffold_880	44701
scaffold_714	54892
scaffold_1580	17462
scaffold_1364	24084
scaffold_1957	7042
scaffold_615	62804
scaffold_771	51683
scaffold_1220	28697
scaffold_64	307772
scaffold_444	81181
scaffold_1892	8458
scaffold_565	67579
scaffold_1594	16887
scaffold_1839	10046
scaffold_1930	7468
scaffold_1381	23606
scaffold_1981	6444
scaffold_681	57786
scaffold_549	69214
scaffold_1346	24519
scaffold_1661	14903
scaffold_1230	28452
scaffold_1740	12656
scaffold_217	133665
scaffold_457	79615
scaffold_1745	12365
scaffold_798	49948
scaffold_1141	31932
scaffold_389	88326
scaffold_1652	15156
scaffold_731	53716
scaffold_1439	21915
scaffold_90	245784
scaffold_1153	31621
scaffold_358	94169
scaffold_626	62211
scaffold_143	180014
