#contig	length
KB670999	1400
KB671544	180220
KB672246	38101
KB671397	1039
KB670862	3093
KB670340	3901
KB670856	6807
KB671250	1373
KB669641	35664
KB671581	162853
KB671815	77504
KB671698	744306
KB670934	17617
KB670871	2111
KB670815	1880
KB670966	2216
KB669620	50557
KB671971	64562
KB672006	66490
KB670878	6796
KB669651	36948
KB670170	342334
KB671962	51702
KB672091	68156
KB669613	2664051
KB670118	5104
KB670193	18260
KB670290	4138
KB671129	1594
KB671587	815561
KB671585	165693
KB671914	70255
KB672012	36830
KB671646	138012
KB671641	132207
KB670387	11487
KB669632	28267
KB671595	205948
KB670080	10034
KB669690	37584
KB670025	388098
KB669906	19517
KB670376	3693
KB671687	742366
KB671593	169660
KB672134	25535
KB672195	19725
KB672201	54742
KB670322	3937
KB669724	17767
KB670200	21399
KB671296	1299
KB670368	8579
KB672202	20770
KB670154	4905
KB669782	9758
KB669638	12097
KB671728	120399
KB671862	89606
KB670138	10915
KB669844	7359
KB670794	2274
KB671059	249555
KB669819	7684
KB671122	1602
KB669660	31078
KB671600	157568
KB670753	2406
KB670596	13317
KB670767	8542
KB670400	6276
KB670925	263902
KB671232	1073
KB670102	11008
KB671455	1010
KB670724	2574882
KB670906	2026
KB670073	12921
KB670970	252601
KB670394	23049
KB670393	10985
KB671562	158569
KB671502	259950
KB670484	3309
KB670758	3876
KB669701	21480
KB670600	4498
KB671066	1674
KB671196	1434
KB671287	1286
KB670261	14033
KB671762	113071
KB670930	1979
KB670254	4209
KB671376	1170
KB669796	8195
KB670388	13290
KB671182	1508
KB672285	28239
KB669793	8235
KB670024	9115
KB671674	133618
KB669938	17225
KB672155	38936
KB671479	220275
KB672117	37525
KB670901	2047
KB670453	13851
KB671363	1185
KB671733	112464
KB670086	5273
KB672030	36314
KB669917	14091
KB670540	4259
KB671256	1364
KB669893	22788
KB670360	3800
KB671267	1292
KB671555	168815
KB670630	2787
KB670737	281184
KB670353	10426
KB671157	1555
KB670670	2650
KB671147	262301
KB670950	7882
KB669777	10651
KB672165	21227
KB672181	18597
KB669931	8335
KB672183	18526
KB670791	11391
KB671534	208495
KB670347	334444
KB670883	2530
KB671322	1201
KB670745	2425
KB672033	38487
KB670730	2420
KB671187	1500
KB672040	52298
KB670212	11530
KB669692	481787
KB669948	433135
KB670069	16868
KB670913	1987
KB669995	5841
KB672144	28002
KB672109	594865
KB669704	9968
KB670776	3280
KB670031	5482
KB671627	170366
KB671901	89509
KB671924	62657
KB670642	9862
KB669977	23570
KB671633	166361
KB670182	4681
KB669864	12947
KB670495	3269
KB672075	34398
KB672105	69185
KB669717	26277
KB671992	39861
KB670020	13599
KB671919	66833
KB671745	141556
KB670043	16626
KB669741	9287
KB670538	8646
KB670695	2519
KB671404	1124
KB670274	15417
KB669780	10343
KB669736	17121
KB671041	1676
KB672148	22259
KB672095	28849
KB671871	77265
KB671824	112505
KB671498	886271
KB670552	3017
KB670297	9729
KB671989	43070
KB672112	35723
KB669963	19190
KB671466	1017
KB671110	1565
KB670513	4528
KB671803	80982
KB670667	9105
KB671085	1648
KB670493	5173
KB672073	33450
KB670017	10397
KB671346	1214
KB670004	5767
KB671854	695020
KB671866	68108
KB670425	329190
KB670256	9140
KB672089	54991
KB671432	1077
KB671414	232752
KB671885	60844
KB670403	359245
KB671843	698629
KB670528	3121
KB671943	57726
KB671513	203440
KB671173	1525
KB671613	155098
KB670851	2155
KB671421	1100
KB669672	10908
KB671012	8026
KB670679	10586
KB670303	371594
KB672227	16988
KB670039	11869
KB669694	10385
KB671375	1072
KB669681	465518
KB669836	1342995
KB672005	44908
KB670038	27912
KB671047	268643
KB669891	6929
KB670095	13001
KB671667	131427
KB671099	2766
KB671152	7314
KB671676	814107
KB669711	16782
KB670145	4908
KB671692	125778
KB672028	50808
KB669875	14602
KB671021	1773
KB671328	1183
KB671275	1330
KB670247	363997
KB670700	2536
KB670591	302399
KB670321	10461
KB669922	21390
KB669804	8998
KB671319	1240
KB671656	152507
KB671049	2177
KB672129	22766
KB671352	1209
KB671212	1375
KB670215	4420
KB669702	10059
KB670177	9711
KB670462	3316
KB669623	12512
KB669811	7909
KB671514	194929
KB671541	220818
KB671892	57693
KB669885	8642
KB670083	18628
KB671874	91448
KB671548	188160
KB669743	19656
KB671177	2032
KB671484	259738
KB672125	34227
KB669649	30397
KB670467	19797
KB671451	1043
KB671400	1075
KB671798	778326
KB670292	342908
KB669946	11951
KB671904	56820
KB671609	808649
KB671292	228726
KB672066	42702
KB671689	114065
KB671648	165549
KB671164	7430
KB670806	7133
KB669653	25318
KB671835	91698
KB670709	7895
KB670450	4884
KB672276	24481
KB670733	2468
KB670508	3090
KB671284	1248
KB671937	61639
KB670174	5224
KB671881	61461
KB670714	2727
KB671090	1638
KB672153	584257
KB670051	5504
KB672219	76127
KB669630	28397
KB669988	23034
KB670221	4413
KB669760	8945
KB670955	1910
KB672267	13975
KB670338	4412
KB669769	21482
KB671621	814673
KB671521	844643
KB672239	29489
KB670825	277470
KB670705	2517
KB670236	362677
KB669983	6323
KB670653	5147
KB671602	151990
KB671721	112551
KB669957	17333
KB670225	380717
KB670564	2973
KB670683	2625
KB669791	8191
KB672111	29144
KB671442	1045
KB669870	489237
KB672232	26272
KB671750	96568
KB669753	39199
KB670842	2128
KB670672	2642
KB671716	100364
KB671738	106745
KB672138	34929
KB670584	5124
KB669615	499605
KB669860	10360
KB670414	320676
KB672244	20813
KB670172	6906
KB670410	3528
KB670510	3185
KB670885	2046
KB670063	9546
KB672060	55911
KB670152	11466
KB671227	1378
KB671685	111190
KB672018	68061
KB669688	17648
KB670594	13430
KB672204	48969
KB670957	6498
KB671902	56067
KB670735	8299
KB670370	9535
KB669626	537623
KB672199	19039
KB671940	67511
KB669846	7387
KB670206	15777
KB670612	8024
KB669655	33142
KB672194	38310
KB669805	40326
KB669900	26521
KB669731	14508
KB671730	130445
KB670027	16674
KB672209	512683
KB670904	1972
KB670968	1877
KB670765	2363
KB671483	215470
KB670396	6713
KB671456	1033
KB670374	15758
KB671817	88160
KB669634	49373
KB669817	19005
KB670872	2090
KB670486	18854
KB671320	1222
KB671832	74388
KB672140	21819
KB671203	240346
KB671289	1300
KB671786	90964
KB670932	1977
KB670638	5452
KB671002	6585
KB671081	290245
KB670880	2096
KB671589	164712
KB671635	162361
KB671281	235595
KB671437	1064
KB670897	2062
KB671571	159537
KB670854	17528
KB671486	221338
KB670131	25754
KB672063	32108
KB670886	2195
KB669722	15109
KB671822	69669
KB672270	13825
KB670258	357160
KB669645	11685
KB671625	162118
KB669876	10078
KB670418	3560
KB671497	214316
KB670168	10857
KB670329	9025
KB671861	71639
KB671217	1371
KB672043	34254
KB671557	187333
KB670581	7937
KB671113	1611
KB670161	10607
KB670558	393977
KB670973	1814
KB671009	1794
KB670195	4592
KB670203	335952
KB671916	53025
KB671953	1506246
KB671532	889085
KB672251	33050
KB671237	1289
KB669775	8613
KB670718	3900
KB671143	1573
KB670945	8094
KB671768	96742
KB671189	1497
KB671184	1447
KB670498	9292
KB670941	1949
KB669932	12565
KB670423	3496
KB670077	5324
KB670431	11517
KB670789	2317
KB670801	2287
KB669997	33660
KB672190	18126
KB670778	2351
KB671778	95057
KB670990	1780
KB670665	2612
KB670233	4408
KB671922	54214
KB672107	52711
KB672050	34304
KB671662	143281
KB670923	12030
KB671399	1074
KB670548	3048
KB670313	4004
KB671262	1360
KB672151	43859
KB671751	105990
KB670380	331140
KB671248	1376
KB672103	41159
KB669950	6276
KB670188	4688
KB670373	3755
KB671387	1095
KB671027	1763
KB671946	62405
KB670690	2591
KB672142	638508
KB671124	6287
KB669940	7683
KB670240	16518
KB670835	6759
KB670345	16043
KB670242	11383
KB670846	8462
KB671299	1236
KB670800	2289
KB670326	4171
KB671269	280155
KB670386	6322
KB670013	5626
KB669798	21169
KB671526	187622
KB671317	1270
KB671198	1439
KB671598	848323
KB671068	1646
KB671672	119976
KB671958	65561
KB671807	84240
KB672167	20269
KB672087	653688
KB669909	12623
KB670575	2915
KB671643	813122
KB670592	8365
KB671208	1454
KB671709	768421
KB671263	1359
KB671735	114841
KB670899	9074
KB669895	12776
KB671356	1191
KB670476	9542
KB670782	2291
KB671298	1232
KB671286	1193
KB670677	14963
KB669696	22329
KB670049	10570
KB671380	289123
KB670633	2666
KB670546	7761
KB670560	8056
KB669838	10581
KB671042	1733
KB670757	8461
KB672078	33648
KB669674	28952
KB671611	171184
KB671658	122237
KB671546	171876
KB671528	208997
KB671334	1168
KB670562	13479
KB671057	6745
KB671604	163394
KB671078	1654
KB670390	22824
KB671219	1365
KB672229	15963
KB670191	4593
KB671240	1269
KB669849	13334
KB671983	62886
KB672131	537516
KB672222	54498
KB670526	3130
KB669912	25927
KB671051	2907
KB671019	1916
KB670108	12445
KB670217	4469
KB671311	1172
KB670840	3377
KB670306	13029
KB671856	77422
KB670053	6782
KB670284	4128
KB670363	3796
KB671358	264230
KB671887	651403
KB670519	3134
KB671480	227330
KB670276	32692
KB671402	1056
KB671876	847355
KB671032	1754
KB672114	40640
KB669738	16896
KB671145	1527
KB670263	4239
KB669788	9528
KB669868	16412
KB670833	2172
KB670812	2271
KB671369	228851
KB670530	3106
KB671025	366526
KB671719	102572
KB671210	1354
KB671468	1005
KB671103	274540
KB671416	1111
KB670244	6475
KB671969	56873
KB670006	12795
KB670983	1857
KB672257	32787
KB671131	1592
KB671809	683578
KB670848	317404
KB672025	64906
KB671427	1087
KB670617	2839
KB671701	115111
KB669827	30794
KB670299	11085
KB671948	52657
KB671802	93158
KB670438	15181
KB672265	14058
KB672160	20049
KB672237	27645
KB670342	13861
KB669628	18508
KB670533	7699
KB670606	7925
KB671752	84852
KB671135	1537
KB669986	11579
KB670041	11247
KB670918	1917
KB670703	8231
KB671574	167965
KB670101	5160
KB671004	1805
KB670692	2528
KB671845	120003
KB670234	4347
KB670582	2937
KB671868	72788
KB671669	127870
KB671973	58618
KB672175	1418751
KB669882	24131
KB671214	259389
KB671619	174880
KB671011	6297
KB669715	9672
KB670831	2092
KB672146	21210
KB671361	1190
KB671740	89964
KB670416	7913
KB670997	7025
KB671430	1004
KB671449	1026
KB669755	36314
KB671935	62883
KB670823	2241
KB672011	43380
KB671154	1501
KB671714	114519
KB670090	10061
KB670448	8628
KB669955	13587
KB670469	320012
KB670319	3970
KB669873	25367
KB672051	37156
KB670143	4978
KB671723	101373
KB670333	3913
KB671509	2554132
KB670281	323812
KB670032	5570
KB670960	1968
KB670749	2411
KB670464	5569
KB671087	1372
KB672068	82841
KB670804	2488
KB670707	12497
KB671495	204333
KB671458	219365
KB669745	9239
KB672127	33844
KB672217	29273
KB669668	28901
KB671837	78433
KB669642	18444
KB671763	113588
KB670230	4432
KB670460	10602
KB671516	194292
KB671373	1113
KB672274	42773
KB671104	1579
KB670712	7280
KB671331	1189
KB669683	11809
KB671093	1575
