#contig	length
KB663676	8161
KB663925	2719
KB664246	1018
KB664207	1114
KB663713	7181
KB663704	8877
KB663904	4721
KB663957	2498
KB663935	6534
KB663776	10522
KB663791	4485
KB663856	2726
KB663897	2844
KB663724	18962
KB663879	8709
KB663799	1336819
KB663896	8316
KB663870	7462
KB664168	1208
KB663916	8521
KB663686	18953
KB663974	4539
KB664190	1077
KB663631	16886
KB663824	8980
KB663650	10625
KB664008	1971
KB664087	1451
KB663806	4274
KB664158	1218
KB663760	5163
KB664066	70963
KB663922	2721
KB663744	1606176
KB664255	9740529
KB664128	1320
KB664121	49368
KB664103	1403
KB664038	1744
KB663944	162569
KB663877	434176
KB664024	1850
KB664174	1199
KB663708	8418
KB663679	8332
KB663643	10059
KB663750	18740
KB663951	8021
KB663613	10458
KB663985	2228
KB663867	8227
KB663860	1868
KB664080	1493
KB663630	25121
KB664077	73048
KB664222	1064
KB664231	1068
KB663658	27634
KB663987	9504
KB663685	7810
KB663692	12875
KB663781	3911
KB663964	2361
KB664118	1354
KB664201	1127
KB664113	1375
KB664177	75206
KB664054	12149005
KB663932	212095
KB663690	8929
KB664028	1821
KB664061	1575
KB663898	8778
KB664215	1036
KB664240	1001
KB664105	1399
KB663818	5927
KB663976	2297
KB664232	54957
KB663675	20322
KB664279	14985
KB663988	145797
KB663723	12176
KB663888	312248
KB663637	18207
KB663843	9669
KB664045	1702
KB663624	23870
KB663915	2760
KB664261	23466
KB663788	1335352
KB664148	1191
KB664001	2088
KB664007	2000
KB663626	18591
KB663777	1444055
KB663798	8702
KB663927	2692
KB663893	9414
KB663649	23426
KB664278	34662
KB664035	1759
KB664025	1847
KB663880	2138
KB664064	1567
KB664074	1446
KB664020	1859
KB663917	7752
KB663741	13058
KB663671	12170
KB664247	1019
KB663813	4019
KB664009	8020
KB663725	8719
KB663623	24798
KB663610	31626230
KB663862	9260
KB664225	1081
KB663743	19588
KB663923	1345
KB663956	10943
KB664242	1027
KB663645	16642
KB663978	2256
KB663868	10183
KB663965	2411
KB664120	1346
KB663644	5844712
KB664175	1164
KB663716	6878
KB663701	8154
KB663995	2091
KB663751	13557
KB663632	19044
KB663680	8708
KB664159	1182
KB664189	1157
KB663687	7778
KB663853	8994
KB663936	8026
KB664206	1114
KB664088	96959
KB663761	14169
KB664163	1178
KB663905	10113
KB663821	927566
KB663986	2120
KB663783	4599
KB664129	1318
KB663907	8335
KB664095	1368
KB664176	1193
KB664169	1156
KB663689	7775
KB664027	1826
KB663933	8152
KB664230	1024
KB663937	2553
KB663859	3238
KB663834	3758
KB663780	4763
KB664079	1433
KB663657	12354
KB664258	35092
KB663625	11918
KB663914	8277
KB664272	34364
KB663827	3769
KB664044	1726
KB664053	1619
KB663977	151949
KB663842	10642
KB664267	54000
KB664100	1356
KB664241	1033
KB663831	8967
KB664149	1208
KB663959	2478
KB664075	1393
KB664154	85401
KB664037	1708
KB664214	1096
KB663691	7709
KB663899	224234
KB664144	1295
KB663778	4768
KB663669	4867
KB663796	8231
KB663758	5268
KB664233	1038
KB663972	1244
KB663789	4517
KB664132	44058
KB663910	199207
KB664130	1318
KB663812	3202
KB663939	2531
KB664089	1335
KB664184	1125
KB664015	1845
KB663648	11291
KB663665	24119
KB663633	5879236
KB663656	9790
KB664156	1255
KB664040	1689
KB664073	1451
KB663918	2695
KB664101	1749
KB663711	6924
KB663617	13086
KB663851	8714
KB663737	16908
KB663913	2768
KB664006	1945
KB663864	15597
KB663929	2671
KB664123	1293
KB664160	1234
KB663774	21195
KB663889	2862
KB663881	8656
KB663767	6027
KB663801	5975
KB663809	2891
KB663998	1239
KB664155	1257
KB664059	1587
KB663660	16856
KB664216	1072
KB663683	6618
KB664145	1294
KB664281	27861
KB663697	8264
KB663837	4207
KB663839	3580
KB664273	28295
KB663820	8222
KB663830	3776
KB664110	47509
KB664234	1065
KB663794	4386
KB663702	10983
KB663841	3513
KB664224	1084
KB663846	3443
KB663848	9466
KB663826	8628
KB664021	84278
KB663940	1471
KB663615	13335
KB663618	12354
KB664082	1414
KB663779	10337
KB664193	1046
KB663748	9871
KB663688	4068810
KB663872	2981
KB664052	1623
KB664179	1123
KB663934	8437
KB664092	1435
KB664014	1913
KB663980	2290
KB663655	4259651
KB664090	14792
KB664122	1339
KB663745	5783
KB663958	7699
KB663766	1354380
KB663945	2580
KB663919	7639
KB664260	58989
KB663678	17706
KB664140	1303
KB663670	13241
KB664191	1105
KB663797	10474
KB663973	2287
KB663759	6563
KB664133	1256
KB663634	11342
KB663996	1982
KB664196	1137
KB663714	8152
KB663823	3949
KB663938	2610
KB664131	1318
KB664192	1150
KB664161	1231
KB664067	1493
KB663800	15233
KB663775	4587
KB663659	24123
KB663890	9174
KB663895	8617
KB663808	4206
KB663882	8489
KB663975	2272
KB664248	1015
KB664022	7794
KB663869	2998
KB664072	1531
KB664152	1199
KB663646	24131
KB663718	11294
KB663850	3351
KB663612	13706
KB663731	6637
