#contig	length
KB705232	2017
KB704533	27999
KB704493	71491
KB704512	25823
KB704543	15007
KB705062	141934
KB704505	17490
KB705010	9944
KB705085	3302
KB705182	8396
KB705279	1888
KB704524	15425
KB704972	4283
KB704582	68800
KB704917	19698
KB704798	13342
KB705268	1936
KB705214	9163
KB704616	12356
KB705092	13565
KB705260	1885
KB705046	12502
KB704674	1370533
KB704530	24056
KB705030	11955
KB704736	10619
KB704472	21997
KB704711	8304
KB704552	32067
KB704431	41718
KB704274	1174
KB704445	64597
KB705292	1792
KB704994	17044
KB704402	110032
KB704965	4298
KB705286	1855
KB705285	1796
KB704162	1428
KB704436	77532
KB704593	34163
KB704278	1172
KB705153	2729
KB705146	2792
KB704688	9062
KB705280	9968
KB704916	11966
KB704685	1314314
KB704830	27917
KB704131	1592
KB704978	4264
KB704809	57937
KB704218	1314
KB704785	509799
KB705252	2026
KB704308	1170
KB704415	110202
KB705245	2066
KB704348	6006405
KB704669	9173
KB704823	15969
KB704469	90600
KB705239	9473
KB704423	36164
KB704408	89462
KB705104	4069
KB704584	23957
KB704840	433244
KB704961	8524
KB704887	5555
KB704596	2253382
KB704454	22251
KB704923	4891
KB704869	27137
KB704320	1142
KB705074	3363
KB704756	23920
KB704173	1452
KB704609	12352
KB704912	11380
KB704935	3131
KB704633	11164
KB704216	1299
KB704373	55362
KB705166	2659
KB704672	17750
KB704628	36820
KB704230	8963
KB705189	2449
KB704855	24970
KB704191	1385
KB704346	1022
KB704171	118209
KB704909	26533
KB704896	253967
KB705317	179312
KB705148	10682
KB705295	171713
KB704206	1332
KB704564	14895
KB705195	133107
KB704357	1055
KB704931	4764
KB704586	12124
KB704573	36281
KB704728	9937
KB704930	4820
KB704783	6599
KB704987	3901
KB704603	42654
KB705037	9144
KB704767	7442
KB705139	8784
KB704378	109805
KB704269	1231
KB705213	2260
KB704814	16042
KB704696	1363980
KB705107	9669
KB704594	20556
KB705069	17168
KB704140	1566
KB704515	42744
KB704703	21963
KB704777	7262
KB704975	22963
KB704635	21432
KB704541	47244
KB704145	1500
KB705184	144777
KB704838	6143
KB704484	19553
KB704545	17433
KB704387	101611
KB704127	100953
KB704411	77083
KB704186	1402
KB705066	3488
KB704392	59393
KB704943	4636
KB704522	54303
KB704880	5677
KB705113	9677
KB704652	10249
KB705230	1012
KB704661	10128
KB704503	38500
KB704383	98898
KB705128	9869
KB704875	5763
KB704331	1115
KB704849	6344
KB705117	7745241
KB704242	1268
KB704361	1015
KB704683	37023
KB704762	679176
KB704645	46673
KB704350	1017
KB704262	1183
KB704507	3102814
KB704752	23707
KB705306	119952
KB705064	11778
KB704188	1318
KB705302	1747
KB704955	15904
KB705044	3711
KB704580	40625
KB704272	1176
KB704413	85774
KB705262	173924
KB704518	2711344
KB704738	22388
KB705098	11150
KB704290	1203
KB704547	35859
KB704697	8801
KB704792	18784
KB704623	31296
KB704919	4973
KB704443	59759
KB705288	1803
KB705266	1916
KB704526	72534
KB704709	15989
KB704164	1367
