#contig	length
KB665015	14882
KB664316	1159
KB664295	1202
KB664326	1036
KB664845	36170
KB664288	3396703
KB664793	69308
KB664868	22999
KB664965	9937
KB665062	2159
KB664307	1122
KB664755	1212814
KB664365	1036
KB664700	133386
KB664581	338379
KB665051	9513
KB664997	18077
KB664399	1025
KB664875	15930
KB665043	829242
KB664829	16406
KB664457	506868
KB664313	1060
KB664813	19855
KB664519	328617
KB664494	368173
KB664335	1124
KB665271	1532
KB665075	2149
KB664777	1055437
KB664748	66263
KB665069	10226
KB665068	10800
KB665159	2622
KB664376	1004
KB665275	1543
KB664936	12740
KB664929	22792
KB664471	508602
KB665063	3363
KB664468	483904
KB664699	1101111
KB664613	144356
KB665128	2742
KB664761	35270
KB664592	177288
KB665215	2074
KB664568	338276
KB665035	9209
KB665305	1429
KB665027	10170
KB665345	1266
KB664452	521766
KB664606	150644
KB665022	10680
KB664887	18506
KB664367	801285
KB664623	131948
KB664744	1261934
KB664670	185486
KB664379	1004
KB664706	107023
KB665317	1700
KB664652	134987
KB664857	33709
KB664539	351416
KB665170	1368
KB664392	1040
KB664695	66521
KB664718	54328
KB664416	909125
KB665213	2158
KB665370	1285
KB664949	30674
KB664455	1635905
KB664411	1089
KB665227	1989
KB664972	12116
KB664638	128365
KB665188	846710
KB665343	756981
KB665168	9637
KB664692	81119
KB664679	108127
KB665100	10315
KB664931	6968
KB665078	9847
KB665203	13540
KB664347	1111
KB665354	871739
KB664978	13670
KB664714	73693
KB664369	1024
KB664356	734618
KB664511	1425288
KB664713	75228
KB664566	1555533
KB664770	30175
KB664386	1046
KB664820	43682
KB664550	450170
KB664922	33014
KB665375	1142
KB665266	1615
KB664996	14914
KB664597	256960
KB664479	526331
KB664890	22708
KB664377	1064
KB664852	17290
KB665137	9133
KB664298	1200
KB664486	382866
KB664560	320113
KB664758	35372
KB664418	632026
KB664324	1116
KB665142	3266
KB664967	12093
KB664621	2787580
KB664328	1128
KB665384	1217
KB665125	9963
KB665183	2974
KB664849	37232
KB665389	1227
KB664726	74888
KB664305	1069
KB664663	107629
KB664896	24824
KB664435	690187
KB665013	8865
KB664444	2139314
KB665380	1240
KB664911	38005
KB664658	109799
KB665328	1354
KB664632	160575
KB664900	54018
KB665239	1754
KB665358	1285
KB664466	1631456
KB664545	288851
KB664428	631865
KB665347	1311
KB665259	1543
KB664290	652692
KB664535	295931
KB665089	9291
KB664847	25071
KB665085	3146
KB665185	1360
KB664738	86144
KB664827	17013
KB664363	1085
KB665269	1593
KB665045	4309
KB664301	782097
KB664521	315966
