#contig	length
AXCO01024870	2467
AXCO01024159	5775
KI432671	5792
KI429861	16214
AXCO01022406	3470
AXCO01024805	2430
AXCO01015838	6884
KI429044	21635
AXCO01012196	9499
AXCO01019943	4510
AXCO01021926	3595
AXCO01016943	6035
KI430283	14524
AXCO01004247	23718
AXCO01029315	1045
AXCO01025768	2097
KI430980	17560
AXCO01002985	27875
AXCO01011982	9685
AXCO01007487	14712
AXCO01023302	3084
AXCO01003094	30012
KI428361	34495
AXCO01015115	7364
AXCO01021149	3916
AXCO01008886	12954
KI428197	37178
AXCO01021668	3768
KI430933	11025
AXCO01008195	13701
AXCO01006755	15893
AXCO01023567	2964
AXCO01014100	7944
KI432796	6630
AXCO01028088	1394
AXCO01012713	13115
AXCO01003784	25086
KI429027	22522
KI428888	23663
AXCO01023494	2988
AXCO01016266	6581
AXCO01015273	7217
AXCO01017380	5821
AXCO01025259	2311
KI428801	46596
AXCO01026729	1781
AXCO01015979	6775
KI429327	30164
AXCO01015356	7144
KI433042	4342
KI428901	21480
AXCO01024635	2552
AXCO01021800	3714
AXCO01013954	8051
AXCO01028332	1210
KI429364	25669
KI429684	20830
AXCO01025466	2179
AXCO01013969	8087
AXCO01010314	11364
AXCO01027666	1517
KI431280	8959
AXCO01017930	5521
AXCO01028676	1223
AXCO01022722	3335
KI430147	18245
AXCO01025126	2305
AXCO01016542	6378
KI433009	8333
AXCO01025049	2395
AXCO01015456	9104
AXCO01012905	8886
AXCO01018005	5517
AXCO01013201	8684
AXCO01015866	6868
KI431787	9740
AXCO01016323	6529
AXCO01012775	9051
AXCO01016744	8143
AXCO01027815	1455
AXCO01011739	9901
AXCO01011564	10206
AXCO01008644	13173
AXCO01014753	8995
AXCO01021866	5707
AXCO01016641	6325
KI431312	10825
KI431580	11354
KI429848	20918
AXCO01010948	10670
AXCO01028444	1292
AXCO01016296	8426
AXCO01019990	4523
AXCO01017667	5672
KI433044	9761
AXCO01020023	4415
AXCO01010215	11437
AXCO01028451	1265
AXCO01028562	1258
AXCO01007533	14629
KI428212	32456
AXCO01026686	1799
AXCO01014322	7846
KI431003	10767
AXCO01014879	7522
KI428201	40756
AXCO01004835	19628
KI432731	9539
AXCO01017328	5958
AXCO01029297	1028
AXCO01018113	5406
KI431088	22160
AXCO01003639	25692
KI431276	18017
KI428981	34943
KI430030	20476
KI430530	15501
AXCO01002087	29793
AXCO01022716	3332
AXCO01026755	1774
AXCO01022402	3479
KI433207	4660
AXCO01015121	8383
AXCO01026432	1878
KI427748	74996
AXCO01022682	5722
AXCO01028033	1380
AXCO01020754	4142
AXCO01026926	1652
AXCO01025445	2172
AXCO01024654	2498
AXCO01006937	15507
AXCO01007602	14517
AXCO01011957	9606
AXCO01010305	11347
AXCO01029285	1059
AXCO01016763	6254
AXCO01028188	1356
AXCO01025820	2090
AXCO01017760	5656
AXCO01015611	7038
AXCO01029294	1051
AXCO01017152	6009
AXCO01019897	4572
KI432218	12162
KI430919	40629
AXCO01025794	2090
AXCO01022955	3200
KI428309	37987
AXCO01007781	14228
AXCO01028024	1418
AXCO01004695	19905
KI430818	12991
AXCO01015226	9791
KI429822	21629
AXCO01011257	10400
AXCO01021130	3997
AXCO01024992	2423
AXCO01028796	1130
AXCO01022293	3517
AXCO01012037	9656
AXCO01028218	1357
AXCO01010381	11210
AXCO01020353	4360
AXCO01010658	10995
AXCO01004860	20946
KI429155	20332
AXCO01014555	7730
KI431171	16395
AXCO01021567	3819
KI431640	11397
AXCO01024065	2767
AXCO01005960	17300
KI428439	36995
AXCO01028403	1206
AXCO01026303	1922
KI433338	4934
AXCO01013174	8710
KI431340	9382
KI432037	6778
AXCO01025604	2089
KI428629	39043
AXCO01014985	7459
AXCO01016372	6454
AXCO01026280	1927
KI432109	6884
AXCO01019592	4751
AXCO01022920	3270
AXCO01004309	20967
AXCO01025544	2176
AXCO01011835	9833
AXCO01020117	4445
AXCO01012358	9353
AXCO01022439	4200
AXCO01007938	13926
AXCO01025089	2380
AXCO01027238	1551
AXCO01021158	3985
AXCO01007632	14570
AXCO01019198	4919
KI430125	24441
AXCO01019390	4846
AXCO01013148	8727
AXCO01008959	12846
AXCO01024898	2450
KI430545	12042
AXCO01012733	9055
AXCO01020174	4431
AXCO01028659	1181
AXCO01027039	1691
KI428759	30692
AXCO01026610	1820
AXCO01012006	9698
AXCO01013285	8609
AXCO01027176	1597
KI427762	77074
AXCO01023145	3093
AXCO01011406	10274
AXCO01028001	1375
AXCO01017706	5585
KI432492	6635
AXCO01024547	2580
KI431327	13035
AXCO01018139	5410
AXCO01012760	9047
AXCO01020235	4410
AXCO01026215	1886
AXCO01023188	3125
AXCO01026946	1688
AXCO01006681	16061
AXCO01017411	5850
AXCO01024337	2605
AXCO01019621	4724
AXCO01005412	18674
AXCO01006482	16406
AXCO01028595	1198
AXCO01028600	1155
AXCO01008086	14656
AXCO01016966	6070
AXCO01018598	5212
AXCO01016382	6471
KI430732	29298
AXCO01008491	13324
KI430725	13520
KI428784	29263
AXCO01017697	5636
KI430214	16489
KI427736	76291
AXCO01028162	1312
AXCO01013502	8435
AXCO01008343	15451
AXCO01019467	4802
AXCO01025292	2299
AXCO01020618	4227
AXCO01021475	3847
KI429467	20036
AXCO01028269	1288
KI427990	40123
AXCO01027994	1427
AXCO01021844	3692
AXCO01028960	1059
AXCO01020919	4189
AXCO01013049	8801
KI429584	22285
AXCO01011808	9833
AXCO01002138	29474
AXCO01016518	6409
AXCO01028352	1263
AXCO01026785	1766
AXCO01026666	1734
KI432703	10159
AXCO01003197	24610
KI431652	12448
KI430093	31990
AXCO01001667	33503
AXCO01005826	17532
AXCO01020539	4174
KI428000	43626
AXCO01016017	6756
KI430069	15655
KI431588	13824
AXCO01025732	2111
AXCO01018520	5250
AXCO01021390	3885
AXCO01018159	5438
AXCO01010294	11343
KI429771	16038
AXCO01003914	22294
AXCO01016657	7171
AXCO01009933	11725
AXCO01016593	6349
AXCO01001177	38847
KI428393	34681
KI431570	11197
KI428342	46884
AXCO01029001	1141
AXCO01010754	10916
AXCO01018642	5182
AXCO01020599	4231
AXCO01019186	4881
KI428411	47005
KI432129	7742
AXCO01014622	7643
AXCO01023739	3024
AXCO01019651	4689
KI429437	19668
AXCO01010920	10737
