#contig	length
KB666784	1388
KB668031	31795
KB667182	1114
KB666641	1576
KB667035	1215
KB667366	1068
KB667600	1731415
KB666718	1462
KB666656	2198
KB666600	1588
KB666751	1482
KB665405	6355
KB667756	23806
KB666663	2837
KB665436	18299
KB667747	28201
KB667876	5771
KB665398	6256182
KB665903	10835
KB666914	1267
KB668205	11012
KB667370	1063
KB667426	92659
KB665417	18641
KB667380	1058
KB665865	10380
KB665810	425501
KB665691	11811
KB666161	10473
KB667919	40606
KB667980	17482
KB666107	9884
KB665509	4339
KB667987	7324
KB665939	2968
KB665567	15414
KB667513	39178
KB665604	24214
KB665445	5173
KB667385	1050
KB666552	10199
KB666185	2483
KB667014	1266
KB665887	2526
KB667240	1082
KB666691	1549
KB666179	2498
KB666178	2506
KB666269	10531
KB666543	1732
KB665486	4928
KB667072	1174
KB666046	9622
KB666715	1420
KB665581	4352
KB668070	19629
KB665578	4359
KB665809	12040
KB667459	50640
KB667940	30447
KB667264	1127
KB667902	20856
KB666686	1554
KB666238	2393
KB667148	1078
KB667518	68269
KB665871	10537
KB665702	3781
KB667052	1208
KB666415	1937
KB666522	161629
KB666138	2584
KB668203	12337
KB666942	1305
KB666455	1800
KB666932	121289
KB666132	239767
KB666668	1548
KB667107	1147
KB667818	13734
KB666515	1714
KB665997	10609
KB665733	485680
KB665854	3175
KB666698	1495
KB667894	20819
KB667709	37353
KB666427	1912
KB665967	2909
KB666280	2241
KB667777	4596278
KB667704	37316
KB668103	11431
KB667530	94277
KB666323	2169
KB666480	1767
KB667189	1118
KB666059	19084
KB668125	13014
KB665521	4751
KB666826	1387
KB667880	17967
KB667897	41510
KB665748	17602
KB666895	1349
KB668150	6031
KB667858	20750
KB667131	1192
KB667639	21630
KB666041	2629
KB667874	27119
KB667199	79276
KB668172	6002
KB667670	42603
KB667728	26914
KB667299	100081
KB667398	1904535
KB665824	12300
KB665479	14202
KB665823	10646
KB666832	137838
KB665880	3102
KB666937	1221
KB667477	47173
KB667813	20694
KB666806	1421
KB666485	1744
KB666376	364593
KB666106	2580
KB667104	1093
KB667914	25839
KB666000	9892
KB665487	16949
KB667677	21762
KB665670	3909
KB667659	30812
KB665528	4737
KB667269	1036
KB666252	10418
KB667185	1138
KB667583	25553
KB666077	372175
KB668180	14484
KB667689	2075103
KB667394	1039
KB667077	98568
KB667474	93791
KB667433	1936590
KB666949	1257
