#contig	length
KB672902	2400050
KB673646	93515
KB672896	14130
KB672947	10454
KB672911	12207
KB672855	33820
KB672926	10481
KB672918	17360
KB672957	1624586
KB673476	6520
KB672919	10530
KB673424	110324
KB673499	6875
KB673596	3885
KB673693	1701
KB672938	16637
KB673386	3288
KB672996	8971
KB673331	4421
KB673212	5332
KB673682	1748
KB673628	1967
KB673030	8160
KB673506	7974
KB673674	1765
KB673460	3028
KB673088	7254
KB672944	19130
KB673444	3101
KB673150	6162
KB672834	20006
KB673125	6491
KB672966	16080
KB672793	45951
KB672636	42153
KB672807	25601
KB673706	1654
KB673408	2102
KB672764	1004
KB673379	127545
KB673700	1649
KB673699	1625
KB672524	1398
KB672798	33478
KB673007	13228
KB672639	1208
KB673567	2422
KB673560	2461
KB673102	520993
KB673694	1700
KB673330	8989
KB673099	6735
KB673244	4908
KB672493	1475
KB673392	1992
KB673223	6073
KB672580	47666
KB673199	14685
KB673666	1726
KB672670	1063
KB672777	1017
KB673659	1821
KB672710	1063
KB673083	16486
KB673237	3488
KB672831	20453
KB673653	1847
KB672785	1002
KB672770	1036
KB673518	7956
KB672998	8882
KB673254	4832
KB673375	5978
KB673301	206136
KB673010	6592
KB672816	20611
KB673337	3946
KB673283	4470
KB672682	1154
KB673488	1577
KB673170	9386
KB672535	1394
KB673023	13694
KB673326	6404
KB673349	3783
KB673047	3678
KB672578	1301
KB672735	1074
KB673580	2286
KB673086	6715
KB673042	11199
KB672592	1205
KB673603	2082
KB673269	5325
KB672553	1324
KB672708	1109
KB672533	1393
KB673323	4110
KB673310	13770
KB673731	1552
KB673562	2459
KB673709	1652
KB672568	1315
KB672891	2654352
KB672978	9243
KB673609	2013
KB672719	1116
KB673345	14278
KB673000	16759
KB672987	13945
KB673142	9509
KB673344	3881
KB673197	10920
KB673401	103117
KB673017	3687
KB673451	7331
KB673181	5774
KB673553	2497
KB672740	1046
KB672631	1183
KB673627	1967
KB673228	15953
KB673110	7919
KB673521	6167
KB673008	8170
KB673483	6051
KB672502	1455
KB672929	14503
KB673117	13542
KB673191	11781
KB673389	3476
KB673049	7988
KB672955	8508
KB672507	1382
KB673598	2086
KB673252	4847
KB672846	4146990
KB672959	15383
KB672749	1072
KB672490	22947322
KB672773	1005
KB672548	1242
KB673480	7081
KB672754	1068
KB673357	133448
KB672936	17178
KB673294	4280
KB673527	2990
KB673066	7124
KB673644	1829
KB673075	11805
KB672865	14751
KB672745	1065
KB673542	6391
KB673289	5546
KB672693	1092
KB673263	4714
KB673531	2656
KB672604	1270
KB672723	1114
KB673097	7299
KB673176	6244
KB673059	7747
KB672882	18539
KB672712	1121
KB672624	1207
KB672921	11544
KB673166	6065
KB673720	1557
KB673478	2142
KB672550	1333
KB673716	1594
KB673369	3667
KB673458	7136
KB672994	12486
KB672634	1111
KB672775	1021
KB673676	1715
KB672932	23516
KB673152	5770
KB673512	89153
KB672652	1198
KB672961	10792
KB673111	6845
KB673206	4981
KB673037	8307
KB673333	4033
KB672805	36406
KB673702	1673
KB673680	1755
KB672940	10619
KB673123	9756
KB672912	17129
KB672526	1291
KB672678	1158
KB672894	21331
KB673437	1784
KB673028	22864
KB673564	2453
KB672951	15197
KB673182	5782
KB673724	1569
KB673474	2904
KB673635	1896
KB672621	1173
KB673467	7008
KB672598	1275
KB673501	82033
KB673509	2747
KB673081	7355
KB672758	38834
KB672538	1387
KB673238	6188
KB673729	1451
KB673383	2331
KB673737	1465
KB672841	20163
KB672829	29053
KB673303	9094
KB672818	29657
KB672706	1044
KB673539	3770
KB672588	1297
KB673619	1996
KB673686	1683
KB673256	4729
KB673494	2762
KB673679	70410
KB672730	1094
KB673246	274599
KB672875	13841
KB673546	117513
KB673651	1735
KB673548	2499
KB672886	13436
KB672840	18020
KB673632	1909
KB673689	1720
KB673319	4124
KB673104	7011
KB672615	1157
KB673215	5397
KB672632	1166
KB673201	12093160
KB672516	1366
KB672822	19753
KB672717	1061
KB673002	1103815
KB673355	9647
KB672673	1128
KB672586	1251
KB672600	1211
KB673144	6447
KB672797	34076
KB672980	1331222
KB672602	5901441
KB673696	1696
KB673497	2716
KB673155	14381
KB672566	1321
KB673218	10698
KB673414	7738
KB673523	55630
KB672880	2819257
KB673612	61345
KB673359	4496
KB673590	77295
KB673669	1738
KB672559	1337
KB673582	2207
KB673044	22770
KB673569	2420
KB673094	9650
KB673174	5896
KB672873	28162
KB672852	19022
KB672570	1253
KB673550	2447
KB673312	10996211
KB672888	15170
KB672657	1192
KB673133	5721
KB673605	2021
KB673744	1500
KB672934	16330
KB673648	1827
KB672573	1249
KB672646	1182
KB673292	7415
KB673347	9746
KB672743	1076
KB673407	3356
KB672732	1038
KB673540	2614
KB672622	1185
KB673188	5173
KB673021	8423
KB672871	21916
KB673722	1522
KB673061	12643
KB672863	15630
KB673396	3342
KB673754	1412
KB673261	4757
KB672509	1436
KB673625	1971
KB673179	417106
KB673449	1316
KB673639	1889
KB673587	2228
KB673338	4454
KB672789	37604
KB672504	1386
KB672844	17925
KB672747	38925
KB673051	7997
KB672974	9253
KB672948	19730
KB673536	6010
KB672500	6996
KB672752	1070
KB672989	9191
KB673430	3206
KB673381	11393
KB673435	116304
KB672761	1005
KB673660	1814
KB672976	8363
KB672824	4578965
KB673203	5989
KB672787	2082
KB673014	7920
KB673309	6964
KB673098	7063
KB672527	1358
KB672969	9594
KB673374	3795
KB672685	1095
KB673284	9082
KB672663	1146
KB673055	8939
KB673584	2284
KB672726	1100
KB673241	13860
KB673105	5858
KB673130	22131
KB672613	1250
KB673395	8932
KB672728	1102
KB673684	1692
KB673367	3755
KB673305	4110
KB673175	13365
KB672603	62439
KB673003	8774
KB673727	1467
KB673654	1844
KB673457	121444
KB673438	3173
KB673093	18429
KB673502	6276
KB672582	1249
KB673566	2429
KB672711	1075
KB673120	7754
KB673279	217032
KB673225	5119
KB673072	15630
KB673599	2111
KB672681	1157
KB672923	10810
KB673472	2932
KB673470	6996
KB672992	9225
KB673217	9051
KB672892	20680
KB673735	1488
KB673591	2165
KB672943	16210
KB672905	25674
KB672964	25720
KB672906	19002
KB672544	1369
KB673464	7362
KB673455	7953
KB673447	2283
KB672638	1156
KB672802	5067560
KB673165	16525
KB673207	8590
KB672901	21253
KB673065	9008
KB672794	35625
KB672704	1099
KB672626	1231
KB673554	2495
KB673035	729615
KB673208	16044
KB673630	1960
KB672811	26045
KB672676	1080
KB672931	11017
KB673515	2665
KB673160	6133
KB672950	16563
KB673361	9352
KB672498	1464
KB672933	11971
KB672511	1434
KB673053	1639
KB673063	7392
KB672783	1006
KB673427	3233
KB672667	1084
KB672628	1227
KB673641	1853
KB672692	1094
KB673070	21404
KB672514	54351
KB673259	6787
KB673227	9170
KB673742	1506
KB672800	29567
KB673172	10304
KB672503	53910
KB673012	8642
KB673486	2845
KB673118	15072
KB673027	22197
KB672809	34031
KB672658	42078
KB672648	1178
KB673547	2539
KB673290	205344
KB672812	22216
KB672521	1358
KB672643	1205
KB673533	2593
KB673394	8027
KB672850	17041
KB673493	9814
KB672690	1144
KB673272	6684
KB672716	1119
KB672869	3288868
KB672656	1112
KB672665	1115
KB673234	8656
KB673713	1591
KB672596	1221
KB672765	1047
KB672609	1262
KB673420	3257
KB673232	5024
KB673749	1463
KB672858	16903
KB672679	1159
