#contig	length
KB668403	1410
KB668266	1972
KB669136	882720
KB668260	2012
KB668437	1233
KB668338	1488
KB668275	1930
KB669611	9057
KB668370	1502
KB668416	1343
KB668282	1861
KB668447	1252
KB668966	221930
KB668409	1315
KB668914	1038133
KB668989	48709
KB669086	43947
KB669183	25796
KB668428	1364
KB668876	122864
KB668486	1240
KB668821	370011
KB668702	460558
KB669172	23304
KB669118	53746
KB668520	1165
KB668996	61838
KB669164	48461
KB668950	165196
KB668578	505528
KB668434	1347
KB668934	76097
KB668640	1004
KB669590	2279
KB668615	1096
KB668456	708050
KB669549	9245
KB669392	869145
KB669563	9678
KB669196	10361
KB668329	1529
KB668898	149798
KB669520	9574
KB668310	1725
KB668869	163129
KB668374	1488
KB669190	10562
KB669189	10655
KB669280	1738428
KB669554	8878
KB668497	1211
KB669396	4490
KB669057	98005
KB669050	51127
KB668334	576891
KB668592	1065
KB669184	21688
KB668820	197093
KB668589	555648
KB668734	433875
KB668305	1763
KB669249	22857
KB668882	121550
KB668713	349247
KB669336	1014753
KB668689	594278
KB669156	12272
KB669426	3867
KB669533	11344
KB669149	38831
KB669466	2466
KB668351	1540
KB668573	1107
KB668727	430973
KB669587	9378
KB669143	12834
KB668287	1822
KB669541	2584
KB669526	9891
KB669008	74832
KB668488	1237
KB668744	359052
KB668865	155716
KB668317	1697
KB668791	259671
KB668500	547302
KB669572	1798
KB668827	186347
KB669438	3742
KB668773	296798
KB668978	126931
KB668660	504041
KB669291	11641
KB668513	1149
KB668816	290561
KB668839	272223
KB668537	1173
KB669334	5398
KB669491	651949
KB669070	943178
KB668576	1093
KB668532	1132
KB669348	8726
KB669093	32134
KB668759	1353732
KB669309	6570
KB669464	12051
KB669289	6435
KB668813	258639
KB668800	217443
KB669221	45417
KB669052	25985
KB669199	33600
KB669324	18525
KB668255	2039
KB668468	1235
KB669475	3194
KB669099	77531
KB668835	178699
KB668490	1235
KB668477	1202
KB668632	1071
KB668834	184853
KB668687	589177
KB668891	169638
KB668507	1200
KB668941	93374
KB668671	710502
KB669043	42630
KB669496	2972
KB669387	10835
KB669117	39905
KB668718	397910
KB668600	671960
KB669011	39851
KB668498	1112
KB668973	68469
KB669257	7312
KB668419	1383
KB668607	1113
KB668681	1609593
KB668879	172512
KB668539	1120
KB668445	649205
KB669263	7298
KB669088	97020
KB668742	317854
KB669602	737289
KB668449	1248
KB669505	2816
KB669246	19952
KB669529	10214
KB669304	6218
KB668970	879108
KB669510	1947
KB668847	169875
KB668426	1366
KB668784	266933
KB669017	72930
KB668556	532411
KB668359	1530
KB669134	39532
KB668565	1090
KB668229	9653
KB669501	3660
KB669032	91156
KB668779	398220
KB669449	2498
KB668753	343795
KB669021	34109
KB669360	1413
KB669479	9665
KB668587	1075
KB668666	471550
KB668549	1103
KB668246	10122
KB669468	3192
KB669380	770134
KB668411	533316
KB668656	1001
KB669210	21192
KB668968	70402
KB669206	10156
KB669306	24849
KB668289	644640
KB668859	1041161
KB668948	917728
KB668484	1247
KB669390	15857
KB668361	1465
KB669531	11096
KB669166	11657
KB668422	532383
